symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,fueltype,aspiration,doornumber,enginelocation,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi,price
1,102.7,178.4,68.0,54.8,2910,140,3.78,3.12,8.0,175,5000,19,24,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16503.0
1,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7957.0
3,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,5500,24,29,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11595.0
3,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7.0,145,5000,19,24,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12629.0
0,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,23,31,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9295.0
0,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28176.0
1,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6229.0
-1,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22563.0
3,94.5,165.7,64.0,51.4,2221,109,3.19,3.4,8.5,90,5500,24,29,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9980.0
1,94.5,168.7,64.0,52.6,2265,98,3.24,3.08,9.4,112,6600,26,29,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9298.0
1,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6377.0
3,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9.0,160,5500,19,26,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18150.0
0,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9.0,82,4800,23,29,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8013.0
3,96.3,173.0,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8499.0
0,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9.0,152,5200,17,22,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13499.0
0,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,23,23,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11694.0
2,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8249.0
0,99.5,178.2,67.9,52.0,3053,131,3.13,3.4,7.0,160,5500,16,22,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17859.167
1,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17710.0
0,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,19,24,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16630.0
1,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5499.0
1,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7799.0
-2,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,23,28,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12940.0
3,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15040.0
2,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12170.0
0,104.9,175.0,66.1,54.4,2670,140,3.76,3.16,8.0,120,5000,19,27,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18280.0
0,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8.0,184,4500,14,16,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22563.0
2,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5151.0
1,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6989.0
0,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9.0,121,4250,21,28,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20970.0
0,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11245.0
0,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12440.0
3,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11850.0
2,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23.0,68,4500,37,42,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9495.0
3,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,19,27,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,22018.0
3,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22563.0
-1,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,5100,17,22,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18950.0
0,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17950.0
2,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9.0,85,5250,27,34,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8495.0
1,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6849.0
-1,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,4200,27,32,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9988.0
0,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9.0,70,4800,30,37,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7198.0
0,100.4,180.2,66.9,55.1,2579,97,3.01,3.4,23.0,68,4500,33,38,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13845.0
1,93.0,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7689.0
0,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16900.0
1,94.5,168.7,64.0,52.6,2169,98,3.19,3.03,9.0,70,4800,29,34,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8058.0
0,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21.0,95,4150,28,33,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13200.0
1,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9.0,154,5000,19,26,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,16500.0
0,97.2,172.0,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7126.0
-1,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22563.0
0,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9.0,62,4800,31,37,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6918.0
0,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16925.0
-1,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,5200,20,24,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15690.0
0,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9.0,86,5800,27,33,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8845.0
3,95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11845.0
-1,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,4200,27,32,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11248.0
0,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10795.0
1,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5572.0
1,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7299.0
2,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6479.0
2,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15250.0
1,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7099.0
2,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10.0,102,5500,24,30,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13950.0
1,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9.0,62,4800,31,38,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6338.0
2,98.4,176.2,65.6,52.0,2551,146,3.62,3.5,9.3,116,4800,24,30,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9989.0
0,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9.0,86,5800,27,33,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7895.0
0,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9.0,101,5800,24,28,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12945.0
0,108.0,186.7,68.3,56.0,3130,134,3.61,3.21,7.0,142,5600,18,24,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18150.0
-1,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,5300,19,25,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19045.0
2,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8.0,115,5500,18,22,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17450.0
1,112.0,199.2,72.0,55.4,3715,304,3.8,3.35,8.0,184,4500,14,16,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22563.0
1,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9.0,68,5000,31,38,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6095.0
3,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22563.0
