curbweight,horsepower,highwaympg,enginesize,carwidth,citympg,car_width_length,price
2910,175,24,140,68.0,19,15.697133496278868,16503.0
2128,102,30,98,63.8,24,14.869431730903505,7957.0
2254,90,29,109,64.2,24,14.949916387726054,11595.0
2833,145,24,156,66.3,19,15.47578754054216,12629.0
2579,90,31,132,66.5,23,15.748015748023622,9295.0
3495,123,25,183,70.3,22,16.056151469141042,28176.0
1967,68,38,90,63.8,31,14.869431730903505,6229.0
3740,155,18,234,71.7,16,16.56200470957547,22563.0
2221,90,29,109,64.0,24,15.15585695366646,9980.0
2265,112,29,98,64.0,26,15.254507530562892,9298.0
1876,68,38,90,63.8,31,14.869431730903505,6377.0
2808,160,26,121,66.5,19,15.90911688309568,18150.0
2420,82,29,108,65.4,23,15.459624833740307,8013.0
2328,88,32,122,65.4,25,15.440207252495027,8499.0
3095,152,22,181,66.5,17,15.754364474646383,13499.0
2650,111,23,108,65.4,23,15.459624833740307,11694.0
2008,69,37,97,63.8,31,15.039946808416577,8249.0
3053,160,22,131,67.9,16,15.687574701017363,17859.167
2844,110,25,136,71.4,19,16.2511538051918,17710.0
3075,97,24,120,68.4,19,15.971850237214221,16630.0
1889,69,37,97,63.8,31,15.136049682793725,5499.0
2028,69,37,97,63.8,31,15.145956556124146,7799.0
2912,114,28,141,67.2,23,16.0,12940.0
2707,110,28,121,66.5,21,15.90911688309568,15040.0
2695,110,28,121,66.5,21,15.90911688309568,12170.0
2670,120,27,140,66.1,19,15.527395145355193,18280.0
3900,184,16,308,71.7,14,16.727223320085137,22563.0
1488,48,53,61,60.3,47,14.191546779685433,5151.0
2365,88,32,122,65.4,25,15.42076522096099,6989.0
2710,121,28,164,64.8,21,15.54348738218036,20970.0
2425,84,32,122,66.5,26,15.630099167951558,11245.0
3230,97,24,120,68.4,19,16.349311912126456,12440.0
2658,110,28,121,66.5,21,15.90911688309568,11850.0
2319,68,42,97,65.5,37,15.401298646542765,9495.0
2778,143,27,151,68.3,19,15.401298646542765,22018.0
2756,207,25,194,65.0,17,15.293789589241772,22563.0
3157,162,22,130,67.2,17,16.0,18950.0
3252,95,33,152,68.4,28,15.971850237214221,17950.0
2275,85,34,109,65.5,27,15.401298646542765,8495.0
1938,69,37,97,63.8,31,15.136049682793725,6849.0
2414,92,32,122,66.5,27,15.559562975867927,9988.0
2109,70,37,98,64.4,30,15.188811671753653,7198.0
2579,68,38,97,66.9,33,15.719414747375298,13845.0
2145,102,30,98,63.8,24,14.869431730903505,7689.0
3252,95,33,152,68.4,28,15.971850237214221,16900.0
2169,70,34,98,64.0,29,15.254507530562892,8058.0
3197,95,33,152,68.4,28,15.971850237214221,13200.0
2823,154,26,152,65.5,19,15.385057685949702,16500.0
2145,82,37,108,65.4,32,15.407790237409127,7126.0
3770,123,25,183,71.7,22,16.56200470957547,22563.0
2280,62,37,92,63.6,31,15.274161188098022,6918.0
2395,101,29,108,64.8,23,15.54348738218036,16925.0
3131,156,24,171,66.5,20,15.94678651014053,15690.0
2304,86,33,110,65.2,27,15.511286213592992,8845.0
2380,101,23,70,65.7,17,15.319921670818033,11845.0
2458,92,32,122,66.5,27,15.559562975867927,11248.0
2443,64,42,122,66.5,36,15.630099167951558,10795.0
1876,68,41,90,63.8,37,14.869431730903505,5572.0
1951,69,37,97,63.8,31,15.136049682793725,7299.0
1713,58,54,92,63.9,49,14.439529078193651,6479.0
2507,110,25,136,66.3,19,15.607690412101338,15250.0
2017,55,50,103,63.8,45,15.136049682793725,7099.0
2337,102,30,109,66.2,24,15.582040944625964,13950.0
2040,62,38,92,63.6,31,14.909728367747013,6338.0
2551,116,30,146,65.6,24,15.54991961394013,9989.0
2236,86,33,110,65.2,27,15.254507530562892,7895.0
2465,101,28,110,65.2,24,15.511286213592992,12945.0
3130,142,24,134,68.3,18,15.968719422671311,18150.0
3049,160,25,141,68.8,19,16.049922118191105,19045.0
2824,115,22,136,66.4,18,15.588457268119896,17450.0
3715,184,16,304,72.0,14,16.46815108019112,22563.0
1900,68,38,91,64.2,31,14.943225890014512,6095.0
2756,207,25,194,65.0,17,15.293789589241772,22563.0
2535,88,30,122,64.6,24,15.466091943344964,8921.0
4066,176,19,258,69.6,15,16.407315441594946,22563.0
2122,70,34,98,64.4,28,15.188811671753653,8358.0
3139,200,23,181,67.9,17,15.446682491719702,19699.0
2209,85,34,109,65.5,27,15.401298646542765,7975.0
1837,60,42,79,64.0,38,14.628738838327793,5399.0
2337,78,29,111,61.8,24,15.247950681976906,6785.0
1874,70,43,90,63.6,38,14.815532390029054,6295.0
1971,69,37,97,63.8,31,15.136049682793725,7499.0
3217,106,27,145,68.9,26,16.053037095827072,22470.0
2385,84,32,122,66.5,26,15.630099167951558,8845.0
2734,90,29,119,65.2,24,15.42076522096099,11048.0
3020,97,24,120,68.4,19,15.971850237214221,11900.0
3285,95,24,120,68.4,19,16.349311912126456,16695.0
2405,88,32,122,65.4,25,15.42076522096099,8189.0
2818,145,24,156,66.3,19,15.47578754054216,12764.0
2500,135,23,80,65.7,16,15.319921670818033,15645.0
2414,92,32,122,66.5,27,15.559562975867927,10898.0
2765,121,28,164,64.8,21,15.54348738218036,21105.0
2204,70,34,98,64.0,29,15.254507530562892,8238.0
2548,111,27,130,64.1,21,15.261061562027722,13495.0
3685,155,18,234,70.5,16,15.836666315863324,22563.0
2535,88,30,122,64.6,24,15.466091943344964,8921.0
2976,161,24,171,67.7,20,15.84929020492716,16558.0
1905,68,38,91,64.2,31,14.943225890014512,6795.0
2395,101,29,108,64.8,23,15.54348738218036,16430.0
2372,86,33,110,62.5,27,15.424007261409079,10295.0
2935,114,28,141,67.2,24,16.0,15985.0
2340,94,32,108,65.4,26,15.407790237409127,9960.0
2037,69,37,97,63.8,31,15.297058540778355,7999.0
2024,76,34,92,63.9,30,14.866068747318506,7295.0
3950,262,17,326,70.6,13,16.195678435928517,22563.0
2548,111,27,130,64.1,21,15.261061562027722,16500.0
2410,84,32,122,66.5,26,15.630099167951558,8495.0
2380,101,23,70,65.7,17,15.319921670818033,10945.0
1945,68,38,91,64.2,31,15.198684153570664,6695.0
2275,56,36,110,64.4,34,15.188811671753653,7898.0
3485,95,25,152,68.4,25,16.349311912126456,17075.0
2004,68,38,92,64.4,31,14.88959368149447,6669.0
1989,68,38,90,63.8,31,14.869431730903505,6692.0
2094,70,47,98,64.4,38,15.188811671753653,7738.0
1989,68,38,90,63.8,31,14.869431730903505,7609.0
1989,68,38,90,63.8,31,15.201973556088038,6692.0
2212,85,34,109,65.5,27,15.401298646542765,8195.0
2460,90,31,132,66.6,23,15.601281998605115,9895.0
2326,92,34,122,66.5,29,15.559562975867927,8948.0
3515,123,25,183,70.3,22,16.161683080669537,25552.0
2050,69,36,97,63.4,31,14.842506526863986,5118.0
2954,110,25,136,71.4,19,16.2511538051918,18920.0
2921,145,24,156,66.3,19,15.47578754054216,14869.0
2324,97,34,120,65.2,27,15.446682491719704,8949.0
2128,102,30,98,63.8,24,14.869431730903505,7957.0
2455,94,31,108,65.4,25,15.45639026422405,10198.0
2403,116,30,110,65.4,23,15.42076522096099,9279.0
2926,145,24,156,66.3,19,15.47578754054216,14489.0
3380,182,22,209,67.9,16,16.17714437099453,22563.0
3045,162,22,130,67.2,17,16.0,18420.0
3139,160,25,181,67.9,19,15.697133496278868,18399.0
2264,52,46,97,65.5,37,15.401298646542765,7995.0
2370,116,30,110,65.4,23,15.440207252495027,9959.0
1985,62,39,92,63.6,35,14.909728367747013,5348.0
2120,73,31,108,63.6,26,14.882876066137216,7053.0
2240,73,31,108,63.8,26,14.869431730903505,7603.0
2191,68,38,98,63.8,31,15.201973556088038,7609.0
2975,116,30,146,65.6,24,15.54991961394013,17669.0
1819,76,38,92,63.9,31,14.439529078193651,6855.0
1944,68,38,92,64.4,31,14.88959368149447,6189.0
1940,76,34,92,64.0,30,14.628738838327793,6529.0
2010,76,34,92,64.0,30,15.079787796915447,7295.0
1909,70,43,90,63.6,38,14.815532390029054,8916.5
2679,116,30,146,65.6,24,15.54991961394013,11199.0
2190,82,33,108,65.4,28,15.407790237409127,7775.0
2385,84,32,122,66.5,26,15.630099167951558,10595.0
3296,152,22,181,66.5,17,15.846135175493108,14399.0
3034,114,28,141,67.2,23,16.0,13415.0
2385,101,23,70,65.7,17,15.319921670818033,13645.0
2290,82,32,108,65.4,28,15.45639026422405,7463.0
2700,72,39,134,66.1,31,15.527395145355193,18344.0
2758,110,28,121,66.5,21,15.90911688309568,15510.0
1909,70,43,90,63.6,38,14.913081505845799,6575.0
